date,open,high,low,close,volume,ema7,ema17,enter_tag,support,resistance,enter_long
2024-05-12 08:00:00+00:00,60819.99,61366.59,60790.94,61146.0,2340.63752,61023.14346387697,61336.728505617844,,0.0,0.0,
2024-05-12 12:00:00+00:00,61145.99,61587.12,61090.0,61419.0,2048.43475,61122.10759790773,61345.86978277142,,0.0,0.0,
2024-05-12 16:00:00+00:00,61419.01,61888.0,61109.67,61406.1,3820.38147,61193.105698430794,61352.56202913015,,0.0,61888.0,
2024-05-12 20:00:00+00:00,61406.11,61551.43,60910.58,61483.99,1862.59518,61265.82677382309,61367.16513700458,,0.0,0.0,
2024-05-13 00:00:00+00:00,61484.0,61812.0,60749.21,61170.0,5351.68295,61241.87008036732,61345.25789955963,,60749.21,0.0,
2024-05-13 04:00:00+00:00,61170.0,62450.0,60797.79,62334.37,4765.16809,61514.99506027549,61455.159244053,,0.0,0.0,1.0
2024-05-13 08:00:00+00:00,62334.36,63295.48,62334.36,62738.0,9213.32472,61820.74629520662,61597.69710582489,,0.0,0.0,
2024-05-13 12:00:00+00:00,62737.99,63200.0,62399.35,63002.0,5842.90422,62116.05972140496,61753.73076073323,,0.0,0.0,
2024-05-13 16:00:00+00:00,63002.0,63450.0,62566.36,63172.69,5512.43015,62380.21729105372,61911.39289842954,,0.0,63450.0,
2024-05-13 20:00:00+00:00,63172.7,63193.59,62715.57,62940.08,2047.90826,62520.18296829029,62025.691465270706,,0.0,0.0,
2024-05-14 00:00:00+00:00,62940.09,63118.36,62403.22,62488.46,4185.92634,62512.252226217715,62077.11019135174,,0.0,0.0,
2024-05-14 04:00:00+00:00,62488.46,62780.73,61404.34,62035.39,6129.65977,62393.036669663285,62072.47461453488,,0.0,0.0,
2024-05-14 08:00:00+00:00,62035.39,62045.8,61520.89,61798.57,2978.35656,62244.42000224746,62042.040768475454,,0.0,0.0,
2024-05-14 12:00:00+00:00,61798.57,62300.0,61142.77,61787.61,9371.49007,62130.2175016856,62013.77068308929,,61142.77,0.0,
2024-05-14 16:00:00+00:00,61787.6,61816.34,61159.34,61596.52,4672.60874,61996.793126264194,61967.409496079374,,0.0,0.0,
2024-05-14 20:00:00+00:00,61596.51,61789.99,61472.41,61577.49,1750.67893,61891.96734469815,61924.08510762611,,0.0,0.0,
